block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,prediction_errors,correct_action,accuracy,trial_total,averaged_pe,q_values1,q_values2
0,1,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[0, 0]",0,"[0, -1]",0,1,1,-0.5,0.0,0.0
0,1,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[0, 0]",0,"[1, 0]",0,1,1,0.5,0.0,0.0
0,1,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[0, 0]",0,"[0, 0]",0,1,1,0.0,0.0,0.0
0,2,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.0), np.float64(-0.02)]",1,"[np.float64(-1.0), np.float64(-0.98)]",0,0,2,-0.99,0.0,-0.02
0,2,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.3), np.float64(0.0)]",0,"[np.float64(0.7), np.float64(0.0)]",0,1,2,0.35,0.3,0.0
0,2,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.0), np.float64(0.0)]",0,"[np.float64(0.0), np.float64(-1.0)]",0,1,2,-0.5,0.0,0.0
0,1,0,State CD,"['D', 'C']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[0, 0]",0,"[1, 1]",0,1,1,1.0,0.0,0.0
0,2,0,State CD,"['C', 'D']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.3), np.float64(0.02)]",0,"[np.float64(-0.3), np.float64(-0.02)]",0,1,2,-0.16,0.3,0.02
0,3,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.21), np.float64(0.0196)]",1,"[np.float64(0.79), np.float64(-0.0196)]",0,0,3,0.38520000000000004,0.21,0.0196
0,3,0,State AB,"['A', 'B']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.51), np.float64(0.0)]",0,"[np.float64(-0.51), np.float64(0.0)]",0,1,3,-0.255,0.51,0.0
0,3,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(0.0), np.float64(-0.02)]",0,"[np.float64(0.0), np.float64(0.02)]",0,1,3,0.01,0.0,-0.02
0,3,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.02), np.float64(-0.314)]",0,"[np.float64(0.02), np.float64(-0.6859999999999999)]",0,1,3,-0.33299999999999996,-0.02,-0.314
0,4,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.357), np.float64(0.0)]",0,"[np.float64(0.643), np.float64(0.0)]",0,1,4,0.3215,0.357,0.0
0,4,0,State CD,"['C', 'D']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.2258), np.float64(0.01372)]",1,"[np.float64(0.7742), np.float64(0.98628)]",0,0,4,0.88024,0.2258,0.01372
0,4,0,State EF,"['F', 'E']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[-1, 0]","[np.float64(-0.014), np.float64(-0.32772)]",0,"[np.float64(-0.986), np.float64(0.32772)]",0,1,4,-0.32914,-0.014,-0.32772
0,4,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.0), np.float64(-0.0196)]",0,"[np.float64(-1.0), np.float64(-0.9804)]",0,1,4,-0.9902,0.0,-0.0196
0,5,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.241284), np.float64(0.309604)]",1,"[np.float64(0.758716), np.float64(-0.309604)]",0,0,5,0.22455599999999998,0.241284,0.309604
0,5,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(-0.3098), np.float64(-0.3211656)]",1,"[np.float64(0.3098), np.float64(-0.6788344)]",0,0,5,-0.18451719999999996,-0.3098,-0.3211656
0,6,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.30360400000000004), np.float64(-0.52481592)]",0,"[np.float64(0.30360400000000004), np.float64(-0.47518408)]",0,1,6,-0.08579003999999998,-0.30360400000000004,-0.52481592
0,5,0,State AB,"['B', 'A']",Reward,"[10.0, 0.0]","['75', '25']","[0, 1]","[np.float64(0.5498999999999999), np.float64(0.0)]",0,"[np.float64(-0.5498999999999999), np.float64(1.0)]",0,1,5,0.22505000000000003,0.5498999999999999,0.0
0,6,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.38493), np.float64(0.02)]",0,"[np.float64(0.61507), np.float64(-0.02)]",0,1,6,0.297535,0.38493,0.02
0,5,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.3), np.float64(-0.039208)]",1,"[np.float64(-0.7), np.float64(-0.960792)]",0,0,5,-0.8303959999999999,-0.3,-0.039208
0,6,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.25645832), np.float64(0.2167228)]",0,"[np.float64(0.74354168), np.float64(-0.2167228)]",0,1,6,0.26340944,0.25645832,0.2167228
0,6,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(-0.314), np.float64(-0.3274456)]",0,"[np.float64(0.314), np.float64(-0.6725544)]",0,1,6,-0.1792772,-0.314,-0.3274456
0,7,0,State AB,"['A', 'B']",Reward,"[0.0, 10.0]","['75', '25']","[0, 1]","[np.float64(0.5694509999999999), np.float64(0.0196)]",0,"[np.float64(-0.5694509999999999), np.float64(0.9804)]",0,1,7,0.20547450000000006,0.5694509999999999,0.0196
0,7,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(-0.2125228), np.float64(-0.5343196016)]",0,"[np.float64(0.2125228), np.float64(-0.4656803984)]",0,1,7,-0.12657879919999998,-0.2125228,-0.5343196016
0,7,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[-1, 0]","[np.float64(-0.2198), np.float64(-0.340896688)]",0,"[np.float64(-0.7802), np.float64(0.340896688)]",0,1,7,-0.219651656,-0.2198,-0.340896688
0,7,0,State CD,"['C', 'D']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.479520824), np.float64(0.212388344)]",1,"[np.float64(-0.479520824), np.float64(-0.212388344)]",0,0,7,-0.345954584,0.479520824,0.212388344
0,8,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.14876596000000003), np.float64(-0.543633209568)]",0,"[np.float64(0.14876596000000003), np.float64(-0.456366790432)]",0,1,8,-0.153800415216,-0.14876596000000003,-0.543633209568
0,8,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(-0.45386), np.float64(-0.33407875424)]",0,"[np.float64(0.45386), np.float64(-0.66592124576)]",0,1,8,-0.10603062288000001,-0.45386,-0.33407875424
