block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,prediction_errors,correct_action,accuracy,trial_total,averaged_pe,q_values1,q_values2
0,1,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[0, 0]",0,"[np.float64(0.22), np.float64(-0.78)]",0,1,1,-0.28,0.0,0.0
0,1,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[0, 0]",1,"[np.float64(0.78), np.float64(-0.22)]",0,0,1,0.28,0.0,0.0
0,1,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[0, 0]",0,"[np.float64(0.78), np.float64(-0.22)]",0,1,1,0.28,0.0,0.0
0,2,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.7254), np.float64(-0.11220000000000001)]",0,"[np.float64(0.05459999999999998), np.float64(-0.10779999999999999)]",0,1,2,-0.026600000000000006,0.7254,-0.11220000000000001
0,2,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.2046), np.float64(-0.39780000000000004)]",0,"[np.float64(0.015399999999999997), np.float64(-0.3822)]",0,1,2,-0.1834,0.2046,-0.39780000000000004
0,2,0,State AB,"['A', 'B']",Reward,"[0.0, 10.0]","['75', '25']","[0, 1]","[np.float64(0.39780000000000004), np.float64(-0.2046)]",0,"[np.float64(-0.6178), np.float64(0.9846)]",0,1,2,0.1834,0.39780000000000004,-0.2046
0,1,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[0, 0]",1,"[np.float64(0.22), np.float64(-0.78)]",0,0,1,-0.28,0.0,0.0
0,2,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.11220000000000001), np.float64(-0.7254)]",0,"[np.float64(0.10779999999999999), np.float64(-0.05459999999999998)]",0,1,2,0.026600000000000006,0.11220000000000001,-0.7254
0,3,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.776178), np.float64(-0.167178)]",0,"[np.float64(0.003821999999999992), np.float64(-0.05282200000000001)]",0,1,3,-0.024500000000000008,0.776178,-0.167178
0,3,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(-0.17675399999999997), np.float64(0.297546)]",1,"[np.float64(0.956754), np.float64(-0.517546)]",0,0,3,0.21960400000000002,-0.17675399999999997,0.297546
0,4,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.7797324600000001), np.float64(-0.19411722)]",0,"[np.float64(0.00026753999999995504), np.float64(-0.025882779999999994)]",0,1,4,-0.01280762000000002,0.7797324600000001,-0.19411722
0,3,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.212454), np.float64(-0.7532460000000001)]",0,"[np.float64(-0.7724540000000001), np.float64(0.19324600000000003)]",0,1,3,-0.28960400000000003,0.212454,-0.7532460000000001
0,3,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.218922), np.float64(-0.592722)]",0,"[np.float64(0.0010779999999999956), np.float64(-0.18727800000000006)]",0,1,3,-0.09310000000000003,0.218922,-0.592722
0,4,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(-0.50592822), np.float64(-0.65469054)]",1,"[np.float64(0.72592822), np.float64(-0.12530945999999998)]",0,0,4,0.30030938,-0.50592822,-0.65469054
0,4,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.21992454), np.float64(-0.68823378)]",0,"[np.float64(-0.7799245400000001), np.float64(0.12823377999999996)]",0,1,4,-0.3258453800000001,0.21992454,-0.68823378
0,4,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.31119054), np.float64(-0.18377178)]",0,"[np.float64(0.46880946), np.float64(-0.036228220000000005)]",0,1,4,0.21629062,0.31119054,-0.18377178
0,5,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(-0.13570482780000004), np.float64(-0.7712283378)]",0,"[np.float64(0.13570482780000004), np.float64(0.7712283378)]",0,1,5,0.4534665828,-0.13570482780000004,-0.7712283378
0,5,0,State CD,"['C', 'D']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.7799812722), np.float64(-0.2073174378)]",0,"[np.float64(-0.21998127219999997), np.float64(0.7673174378000001)]",0,1,5,0.27366808280000005,0.7799812722,-0.2073174378
0,5,0,State AB,"['B', 'A']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.7471833378000001), np.float64(-0.2022481722)]",0,"[np.float64(-0.18718333780000007), np.float64(0.7622481722000001)]",0,1,5,0.2875324172,0.7471833378000001,-0.2022481722
0,5,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.5054052822000001), np.float64(-0.6228345522000001)]",1,"[np.float64(0.7254052822000001), np.float64(-0.15716544779999997)]",0,0,5,0.28411991720000007,-0.5054052822000001,-0.6228345522000001
0,6,0,State CD,"['D', 'C']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.575398689054), np.float64(0.18401445547800005)]",0,"[np.float64(-0.575398689054), np.float64(-0.18401445547800005)]",0,1,6,-0.379706572266,0.575398689054,0.18401445547800005
0,6,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(-0.13544858827800005), np.float64(-0.768998418654)]",0,"[np.float64(0.3554485882780001), np.float64(-0.011001581346000044)]",0,1,6,0.17222350346600002,-0.13544858827800005,-0.768998418654
0,6,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.573102833646), np.float64(0.18649839562200007)]",0,"[np.float64(0.20689716635400002), np.float64(-0.4064983956220001)]",0,1,6,-0.09980061463400003,0.573102833646,0.18649839562200007
0,6,0,State GH,"['H', 'G']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(-0.009499337945999997), np.float64(-0.377901885522)]",0,"[np.float64(0.009499337945999997), np.float64(0.377901885522)]",0,1,6,0.193700611734,-0.009499337945999997,-0.377901885522
0,7,0,State CD,"['D', 'C']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.04027790823377997), np.float64(0.09016708318422002)]",0,"[np.float64(0.5197220917662201), np.float64(0.46983291681578004)]",0,1,7,0.4947775042910001,0.04027790823377997,0.09016708318422002
0,7,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[-1, 0]","[np.float64(0.19511859882054006), np.float64(-0.77460922514046)]",0,"[np.float64(-0.9751185988205401), np.float64(0.99460922514046)]",0,1,7,0.009745313159959967,0.19511859882054006,-0.77460922514046
0,7,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(-0.0006649536562199996), np.float64(-0.18517192390578)]",0,"[np.float64(0.0006649536562199996), np.float64(0.18517192390578)]",0,1,7,0.09291843878099999,-0.0006649536562199996,-0.18517192390578
0,8,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(-0.7117416980825623), np.float64(-0.26735852031882545)]",1,"[np.float64(0.9317416980825622), np.float64(-0.5126414796811746)]",0,0,8,0.20955010920069383,-0.7117416980825623,-0.26735852031882545
0,8,0,State GH,"['H', 'G']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(-4.6546755935399954e-05), np.float64(-0.0907342427138322)]",1,"[np.float64(4.6546755935399954e-05), np.float64(0.0907342427138322)]",0,0,8,0.0453903947348838,-4.6546755935399954e-05,-0.0907342427138322
0,7,0,State AB,"['A', 'B']",Reward,"[0.0, 10.0]","['75', '25']","[0, 1]","[np.float64(0.76551719835522), np.float64(-0.020815786145219978)]",0,"[np.float64(-0.98551719835522), np.float64(0.80081578614522)]",0,1,7,-0.09235070610500001,0.76551719835522,-0.020815786145219978
0,8,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.5236194535763647), np.float64(0.3297818707602678)]",0,"[np.float64(0.2563805464236353), np.float64(-0.5497818707602679)]",0,1,8,-0.1467006621683163,0.5236194535763647,0.3297818707602678
0,8,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(-0.15101379611513466), np.float64(0.38760026478884224)]",1,"[np.float64(0.9310137961151347), np.float64(-0.6076002647888422)]",0,0,8,0.16170676566314623,-0.15101379611513466,0.38760026478884224
0,9,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.23655343206045554), np.float64(-0.7441150964223178)]",0,"[np.float64(0.4565534320604555), np.float64(-0.03588490357768226)]",0,1,9,0.21033426424138663,-0.23655343206045554,-0.7441150964223178
0,9,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-2.2807910408345978e-05), np.float64(-0.006351396989968255)]",1,"[np.float64(0.22002280791040835), np.float64(-0.7736486030100318)]",0,0,9,-0.27681289754981175,-2.2807910408345978e-05,-0.006351396989968255
0,9,0,State AB,"['B', 'A']",Reward,"[10.0, 0.0]","['75', '25']","[0, 1]","[np.float64(0.32380323990358406), np.float64(-0.17746798146478104)]",0,"[np.float64(-0.543803239903584), np.float64(0.9574679814647811)]",0,1,9,0.20683237078059852,0.32380323990358406,-0.17746798146478104
0,9,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.7620533617503455), np.float64(0.04939311667253121)]",0,"[np.float64(0.01794663824965448), np.float64(-0.2693931166725312)]",0,1,9,-0.12572323921143835,0.7620533617503455,0.04939311667253121
0,10,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.11218882412389991), np.float64(-0.7258445977892979)]",0,"[np.float64(0.10781117587610009), np.float64(-0.05415540221070214)]",0,1,10,0.026827886832698974,0.11218882412389991,-0.7258445977892979
0,10,0,State EF,"['F', 'E']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[-1, 0]","[np.float64(0.18804125975576813), np.float64(-0.7624163972469358)]",0,"[np.float64(-0.9680412597557682), np.float64(0.9824163972469357)]",0,1,10,0.0071875687455837944,0.18804125975576813,-0.7624163972469358
0,10,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(-0.18193377320674908), np.float64(0.3108406890822573)]",1,"[np.float64(0.9619337732067491), np.float64(-0.5308406890822573)]",0,0,10,0.21554654206224588,-0.18193377320674908,0.3108406890822573
0,10,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.7787437353225242), np.float64(-0.08799737283045969)]",0,"[np.float64(0.0012562646774758601), np.float64(-0.1320026271695403)]",0,1,10,-0.06537318124603222,0.7787437353225242,-0.08799737283045969
0,11,0,State AB,"['B', 'A']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.308652451128693), np.float64(-0.18284115176424204)]",0,"[np.float64(-0.308652451128693), np.float64(0.18284115176424204)]",0,1,11,-0.06290564968222548,0.308652451128693,-0.18284115176424204
0,11,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.7799120614725767), np.float64(-0.15531871268692526)]",0,"[np.float64(8.793852742328134e-05), np.float64(-0.06468128731307474)]",0,1,11,-0.03229667439282573,0.7799120614725767,-0.15531871268692526
0,11,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.7122371118170963), np.float64(-0.2613840346509986)]",1,"[np.float64(0.1522371118170962), np.float64(-0.2986159653490015)]",0,0,11,-0.07318942676595264,-0.7122371118170963,-0.2613840346509986
