block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,correct_action,accuracy,v_values,w_values,h_values,q_prediction_errors,v_prediction_errors,trial_total,prediction_errors,averaged_pe,h_values1,h_values2
0,1,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[0, 0]",0,0,1,[0],"[0.01, 0.01]","[np.float64(0.0010999999999999998), np.float64(0.0010999999999999998)]","[0, -1]","[0, -1]",1,"[0, -1, 0, -1]",-0.5,0.0010999999999999998,0.0010999999999999998
0,1,0,State AB,"['B', 'A']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[0, 0]",1,0,0,[0],"[0.01, 0.01]","[np.float64(0.0010999999999999998), np.float64(0.0010999999999999998)]","[1, 1]","[1, 1]",1,"[1, 1, 1, 1]",1.0,0.0010999999999999998,0.0010999999999999998
0,2,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.97), np.float64(0.11)]",0,0,1,[np.float64(0.24)],[0.47252747 0.52747253],"[np.float64(0.9152780219780219), np.float64(0.15592197802197802)]","[np.float64(0.030000000000000027), np.float64(-0.11)]","[np.float64(0.76), np.float64(-0.24)]",2,"[np.float64(0.76), np.float64(-0.24), np.float64(0.030000000000000027), np.float64(-0.11)]",0.11000000000000001,0.9152780219780219,0.15592197802197802
0,1,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[0, 0]",1,0,0,[0],"[0.01, 0.01]","[np.float64(0.0010999999999999998), np.float64(0.0010999999999999998)]","[-1, -1]","[-1, -1]",1,"[-1, -1, -1, -1]",-1.0,0.0010999999999999998,0.0010999999999999998
0,1,0,State CD,"['D', 'C']",Reward,"[10.0, 0.0]","['75', '25']","[0, 1]","[0, 0]",0,0,1,[0],"[0.01, 0.01]","[np.float64(0.0010999999999999998), np.float64(0.0010999999999999998)]","[0, 1]","[0, 1]",1,"[0, 1, 0, 1]",0.5,0.0010999999999999998,0.0010999999999999998
0,2,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.0), np.float64(-0.97)]",0,0,1,[np.float64(0.0)],[ 0.01176471 -0.98823529],"[np.float64(0.0012941176470588234), np.float64(-0.9720058823529412)]","[np.float64(0.0), np.float64(-0.030000000000000027)]","[np.float64(0.0), np.float64(-1.0)]",2,"[np.float64(0.0), np.float64(-1.0), np.float64(0.0), np.float64(-0.030000000000000027)]",-0.2575,0.0012941176470588234,-0.9720058823529412
0,2,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.0), np.float64(0.97)]",1,0,0,[np.float64(0.0)],[0.01149425 0.98850575],"[np.float64(0.0012643678160919537), np.float64(0.972035632183908)]","[np.float64(1.0), np.float64(-0.97)]","[np.float64(1.0), np.float64(0.0)]",2,"[np.float64(1.0), np.float64(0.0), np.float64(1.0), np.float64(-0.97)]",0.2575,0.0012643678160919537,0.972035632183908
0,2,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.97), np.float64(-0.11)]",1,0,0,[np.float64(-0.24)],[-0.47191011 -0.52808989],"[np.float64(-0.9152101123595505), np.float64(-0.15598988764044944)]","[np.float64(-0.030000000000000027), np.float64(-0.89)]","[np.float64(-0.76), np.float64(-0.76)]",2,"[np.float64(-0.76), np.float64(-0.76), np.float64(-0.030000000000000027), np.float64(-0.89)]",-0.61,-0.9152101123595505,-0.15598988764044944
0,3,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.0), np.float64(-0.9991)]",0,0,1,[np.float64(0.0)],[ 0.0063593 -0.9936407],"[np.float64(0.0006995230524642288), np.float64(-0.9984994769475357)]","[np.float64(-1.0), np.float64(-0.0009000000000000119)]","[np.float64(-1.0), np.float64(-1.0)]",3,"[np.float64(-1.0), np.float64(-1.0), np.float64(-1.0), np.float64(-0.0009000000000000119)]",-0.750225,0.0006995230524642288,-0.9984994769475357
0,3,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.9991), np.float64(-0.2079)]",1,0,0,[np.float64(-0.4224)],[-0.47209042 -0.52790958],"[np.float64(-0.9411289460977831), np.float64(-0.2431010539022168)]","[np.float64(-0.0009000000000000119), np.float64(-0.7921)]","[np.float64(-0.5776), np.float64(-0.5776)]",3,"[np.float64(-0.5776), np.float64(-0.5776), np.float64(-0.0009000000000000119), np.float64(-0.7921)]",-0.48705,-0.9411289460977831,-0.2431010539022168
