block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,correct_action,accuracy,v_values,w_values,h_values,q_prediction_errors,v_prediction_errors,trial_total,prediction_errors,averaged_pe,h_values1,h_values2
0,1,0,State AB,"['B', 'A']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[0, 0]",0,0,1,[0],"[0.01, 0.01]","[np.float64(0.0034999999999999996), np.float64(0.0034999999999999996)]","[0, 0]","[0, 0]",1,"[0, 0, 0, 0]",0.0,0.0034999999999999996,0.0034999999999999996
0,1,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[0, 0]",1,0,0,[0],"[0.01, 0.01]","[np.float64(0.0034999999999999996), np.float64(0.0034999999999999996)]","[-1, -1]","[-1, -1]",1,"[-1, -1, -1, -1]",-1.0,0.0034999999999999996,0.0034999999999999996
0,1,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[0, 0]",0,0,1,[0],"[0.01, 0.01]","[np.float64(0.0034999999999999996), np.float64(0.0034999999999999996)]","[0, -1]","[0, -1]",1,"[0, -1, 0, -1]",-0.5,0.0034999999999999996,0.0034999999999999996
0,2,0,State AB,"['A', 'B']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.0), np.float64(0.0)]",1,0,0,[np.float64(0.0)],[0.5 0.5],"[np.float64(0.175), np.float64(0.175)]","[np.float64(0.0), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0)]",2,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0.0,0.175,0.175
0,2,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.14), np.float64(-0.45)]",0,0,1,[np.float64(-0.9)],[-0.54135338 -0.45864662],"[np.float64(-0.2804736842105263), np.float64(-0.4530263157894737)]","[np.float64(-0.86), np.float64(-0.55)]","[np.float64(-0.09999999999999998), np.float64(-0.09999999999999998)]",2,"[np.float64(-0.09999999999999998), np.float64(-0.09999999999999998), np.float64(-0.86), np.float64(-0.55)]",-0.4025,-0.2804736842105263,-0.4530263157894737
0,1,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[0, 0]",1,0,0,[0],"[0.01, 0.01]","[np.float64(0.0034999999999999996), np.float64(0.0034999999999999996)]","[1, 0]","[1, 0]",1,"[1, 0, 1, 0]",0.5,0.0034999999999999996,0.0034999999999999996
0,2,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.0), np.float64(-0.14)]",0,0,1,[np.float64(0.0)],[ 0.01369863 -0.98630137],"[np.float64(0.004794520547945206), np.float64(-0.4362054794520548)]","[np.float64(0.0), np.float64(-0.86)]","[np.float64(0.0), np.float64(-1.0)]",2,"[np.float64(0.0), np.float64(-1.0), np.float64(0.0), np.float64(-0.86)]",-0.46499999999999997,0.004794520547945206,-0.4362054794520548
0,2,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.14), np.float64(0.0)]",0,0,1,[np.float64(0.0)],[0.98666667 0.01333333],"[np.float64(0.43633333333333335), np.float64(0.004666666666666667)]","[np.float64(0.86), np.float64(0.0)]","[np.float64(1.0), np.float64(0.0)]",2,"[np.float64(1.0), np.float64(0.0), np.float64(0.86), np.float64(0.0)]",0.46499999999999997,0.43633333333333335,0.004666666666666667
0,3,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.0), np.float64(-0.2604)]",0,0,1,[np.float64(0.0)],[ 0.00791828 -0.99208172],"[np.float64(0.0027713991606619684), np.float64(-0.516488600839338)]","[np.float64(0.0), np.float64(-0.7396)]","[np.float64(0.0), np.float64(-1.0)]",3,"[np.float64(0.0), np.float64(-1.0), np.float64(0.0), np.float64(-0.7396)]",-0.4349,0.0027713991606619684,-0.516488600839338
0,3,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(-0.527), np.float64(-0.527)]",1,0,0,[np.float64(-0.99)],[-0.53158888 -0.46841112],"[np.float64(-0.528606109436587), np.float64(-0.506493890563413)]","[np.float64(0.527), np.float64(-0.473)]","[np.float64(0.99), np.float64(-0.010000000000000009)]",3,"[np.float64(0.99), np.float64(-0.010000000000000009), np.float64(0.527), np.float64(-0.473)]",0.25850000000000006,-0.528606109436587,-0.506493890563413
0,3,0,State CD,"['D', 'C']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.527), np.float64(0.0)]",0,0,1,[np.float64(0.9)],[0.99176955 0.00823045],"[np.float64(0.689669341563786), np.float64(0.002880658436213992)]","[np.float64(-0.527), np.float64(0.0)]","[np.float64(-0.9), np.float64(-0.9)]",3,"[np.float64(-0.9), np.float64(-0.9), np.float64(-0.527), np.float64(0.0)]",-0.58175,0.689669341563786,0.002880658436213992
0,4,0,State CD,"['C', 'D']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.28985), np.float64(0.0)]",0,0,1,[np.float64(0.08999999999999997)],[ 0.40069643 -0.59930357],"[np.float64(0.3286462494535405), np.float64(-0.20975625054645955)]","[np.float64(-0.28985), np.float64(0.0)]","[np.float64(-0.08999999999999997), np.float64(-0.08999999999999997)]",4,"[np.float64(-0.08999999999999997), np.float64(-0.08999999999999997), np.float64(-0.28985), np.float64(0.0)]",-0.11746249999999998,0.3286462494535405,-0.20975625054645955
0,3,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.0), np.float64(0.0)]",0,0,1,[np.float64(0.0)],[0.5 0.5],"[np.float64(0.175), np.float64(0.175)]","[np.float64(1.0), np.float64(0.0)]","[np.float64(1.0), np.float64(0.0)]",3,"[np.float64(1.0), np.float64(0.0), np.float64(1.0), np.float64(0.0)]",0.5,0.175,0.175
0,4,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.0), np.float64(-0.36394400000000005)]",0,0,1,[np.float64(0.0)],[ 0.00457704 -0.99542296],"[np.float64(0.0016019648327525828), np.float64(-0.5849616351672474)]","[np.float64(0.0), np.float64(-0.636056)]","[np.float64(0.0), np.float64(-1.0)]",4,"[np.float64(0.0), np.float64(-1.0), np.float64(0.0), np.float64(-0.636056)]",-0.409014,0.0016019648327525828,-0.5849616351672474
0,4,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.45322), np.float64(-0.73985)]",0,0,1,[np.float64(-0.999)],[ 0.28707336 -0.71292664],"[np.float64(-0.1941173250575125), np.float64(-0.7304268250575126)]","[np.float64(0.45322), np.float64(-0.26015)]","[np.float64(0.999), np.float64(-0.0010000000000000009)]",4,"[np.float64(0.999), np.float64(-0.0010000000000000009), np.float64(0.45322), np.float64(-0.26015)]",0.29776749999999996,-0.1941173250575125,-0.7304268250575126
